control_id,route,role,viewport,component,source_file,visible_label,control_type,classification,expected_behavior,handler_or_href,api_or_server_action,authorization,validation,loading_state,success_state,error_state,persistent_effect,audit_required,keyboard,mobile,translation_key,test_name,status,evidence
public.header.home,/,GUEST,all,Header,src/components/layout/Header.tsx,Aurora Hotel,Navigation,Navigation,Navigate to home,/,NONE,PUBLIC,NONE,NONE,Render home page,NONE,NO,NO,Enter/Space,Touch,header.home,header navigation,VERIFIED,Manual & E2E
public.header.rooms,/rooms,GUEST,all,Header,src/components/layout/Header.tsx,Phòng Nghỉ,Navigation,Navigation,Navigate to rooms listing,/rooms,NONE,PUBLIC,NONE,NONE,Render rooms page,NONE,NO,NO,Enter/Space,Touch,header.rooms,header navigation,VERIFIED,Manual & E2E
public.header.experiences,/experiences,GUEST,all,Header,src/components/layout/Header.tsx,Trải Nghiệm,Navigation,Navigation,Navigate to experiences,/experiences,NONE,PUBLIC,NONE,NONE,Render experiences page,NONE,NO,NO,Enter/Space,Touch,header.experiences,header navigation,VERIFIED,Manual & E2E
public.header.book-now,/booking,GUEST,all,Header,src/components/layout/Header.tsx,Đặt Phòng Trực Tiếp,Navigation,Navigation,Navigate to booking wizard,/booking,NONE,PUBLIC,NONE,NONE,Render booking wizard,NONE,NO,NO,Enter/Space,Touch,header.book_now,header navigation,VERIFIED,Manual & E2E
public.rooms.filter.category,/rooms,GUEST,all,RoomFilterBar,src/components/rooms/RoomFilterBar.tsx,Tất Cả Hạng Phòng,Input,Input,Filter displayed categories,onChange,NONE,PUBLIC,NONE,NONE,Filter room cards,NONE,NO,NO,Enter/Space,Touch,rooms.filter.category,room filter,VERIFIED,Manual & E2E
public.rooms.compare.open,/rooms,GUEST,all,RoomCompareModal,src/components/rooms/RoomCompareModal.tsx,So Sánh Hạng Phòng,Disclosure,Disclosure,Open compare modal,onClick,NONE,PUBLIC,MIN_2_ROOMS,NONE,Open modal overlay,Show error toast,NO,NO,Escape/Tab,Touch,rooms.compare.open,room compare,VERIFIED,Manual & E2E
booking.step1.continue,/booking,GUEST,all,BookingWizard,src/app/booking/page.tsx,Tiếp Tục Chọn Phòng,Command,Command,Validate dates and proceed,onClick,POST /api/quote,PUBLIC,REQUIRED_DATES,Loading spinner,Advance to step 2,Display error alert,NO,NO,Enter/Space,Touch,booking.step1.continue,booking wizard,VERIFIED,Manual & E2E
reception.checkin,/operations/reception,RECEPTIONIST,all,RoomMatrixGrid,src/components/operations/RoomMatrixGrid.tsx,Check-in Trực Tiếp,Command,Command,Perform check-in for booking,onClick,UPDATE_BOOKING_STATUS,RECEPTIONIST,ROOM_ASSIGNED,Disabling button,Update status to CHECKED_IN,Display toast error,YES,YES,Enter/Space,Touch,reception.checkin,reception checkin,VERIFIED,Manual & E2E
housekeeping.mark_clean,/operations/housekeeping,HOUSEKEEPER,all,RoomMatrixGrid,src/components/operations/RoomMatrixGrid.tsx,Mark Clean,Command,Command,Update room status to clean,onClick,UPDATE_ROOM_HOUSEKEEPING,HOUSEKEEPER,VALID_ROOM_ID,Disabling button,Update status to CLEAN,Display toast error,YES,YES,Enter/Space,Touch,housekeeping.mark_clean,housekeeping clean,VERIFIED,Manual & E2E
admin.reports.export_csv,/admin/reports,ADMIN,all,ExportCsvButton,src/components/admin/ExportCsvButton.tsx,Xuất Báo Cáo CSV (Excel),Command,Command,Download UTF-8 BOM CSV,onClick,NONE,ADMIN,NONE,Downloading,Trigger browser download,Display toast error,NO,YES,Enter/Space,Touch,admin.reports.export_csv,admin export csv,VERIFIED,Manual & E2E
